species,lon,lat
Rhinella marina,134.41149,-14.81737
Rhinella marina,134.4168757,-14.06296318
Rhinella marina,134.4168757,-14.06296318
Rhinella marina,134.4168757,-14.06296318
Rhinella marina,134.4168757,-14.06296318
Rhinella marina,134.4168757,-14.06296318
Rhinella marina,134.4168757,-14.0629632
Rhinella marina,134.4168757,-14.06296318
Rhinella marina,134.4168757,-14.06296318
Rhinella marina,134.4198613,-14.06079772
Rhinella marina,134.4198613,-14.06079772
Rhinella marina,134.4198613,-14.06079772
Rhinella marina,134.4198613,-14.06079772
Rhinella marina,134.4198613,-14.06079772
Rhinella marina,134.4198613,-14.06079772
Rhinella marina,134.4198613,-14.06079772
Rhinella marina,134.4198613,-14.06079772
Rhinella marina,134.4198613,-14.06079772
Rhinella marina,134.4198613,-14.0607977
Rhinella marina,134.4198613,-14.06079772
Rhinella marina,134.4198613,-14.06079772
Rhinella marina,134.4198613,-14.06079772
Rhinella marina,134.42088,-14.69597
Rhinella marina,134.42858,-14.69447
Rhinella marina,134.42898,-14.69527
Rhinella marina,134.42914,-14.2637
Rhinella marina,134.43228,-14.73087
Rhinella marina,134.43728,-14.73047
Rhinella marina,134.43748,-14.72947
Rhinella marina,134.43929,-14.89406
Rhinella marina,134.43953,-14.2675
Rhinella marina,134.4427061,-14.1293196
Rhinella marina,134.4427061,-14.12931961
Rhinella marina,134.4454,-14.26715
Rhinella marina,134.4454,-14.26715
Rhinella marina,134.4454,-14.26715
Rhinella marina,134.45948,-14.26965
Rhinella marina,134.45948,-14.26965
Rhinella marina,134.45948,-14.26965
Rhinella marina,134.45948,-14.26965
Rhinella marina,134.45948,-14.26965
Rhinella marina,134.45948,-14.26965
Rhinella marina,134.46382,-14.15849
Rhinella marina,134.46382,-14.15849
Rhinella marina,134.4643107,-14.1539906
Rhinella marina,134.4643107,-14.15399065
Rhinella marina,134.4643107,-14.15399065
Rhinella marina,134.4643107,-14.15399065
Rhinella marina,134.4643107,-14.15399065
Rhinella marina,134.4643107,-14.15399065
Rhinella marina,134.4651743,-14.176509
Rhinella marina,134.4651743,-14.17650897
Rhinella marina,134.4651743,-14.17650897
Rhinella marina,134.4651743,-14.17650897
Rhinella marina,134.4651743,-14.17650897
Rhinella marina,134.4651743,-14.17650897
Rhinella marina,134.4651743,-14.17650897
Rhinella marina,134.4651743,-14.17650897
Rhinella marina,134.4651743,-14.17650897
Rhinella marina,134.4651743,-14.17650897
Rhinella marina,134.4651743,-14.17650897
Rhinella marina,134.4651743,-14.17650897
Rhinella marina,134.4651743,-14.17650897
Rhinella marina,134.4651743,-14.17650897
Rhinella marina,134.4651743,-14.17650897
Rhinella marina,134.4651743,-14.17650897
Rhinella marina,134.4651743,-14.17650897
Rhinella marina,134.4651743,-14.17650897
Rhinella marina,134.4651743,-14.17650897
Rhinella marina,134.4651743,-14.17650897
Rhinella marina,134.4651743,-14.17650897
Rhinella marina,134.4651743,-14.17650897
Rhinella marina,134.4651743,-14.17650897
Rhinella marina,134.4651743,-14.17650897
Rhinella marina,134.465851,-14.14666839
Rhinella marina,134.465851,-14.14666839
Rhinella marina,134.465851,-14.14666839
Rhinella marina,134.4739607,-14.1299333
Rhinella marina,134.4739607,-14.12993333
Rhinella marina,134.4739607,-14.12993333
Rhinella marina,134.4739607,-14.12993333
Rhinella marina,134.4739607,-14.12993333
Rhinella marina,134.4739607,-14.12993333
Rhinella marina,134.4770458,-14.2147669
Rhinella marina,134.4770458,-14.21476691
Rhinella marina,134.4770458,-14.21476691
Rhinella marina,134.4770458,-14.21476691
Rhinella marina,134.4770458,-14.21476691
Rhinella marina,134.4770458,-14.21476691
