species,lon,lat
Egernia cunninghami,153.5194,-28.215
Egernia cunninghami,149.6262791,-32.17965415
Egernia cunninghami,151.0531,-33.7031
Egernia cunninghami,146.96,-36.26
Egernia cunninghami,146.4483,-36.03083
Egernia cunninghami,149.5552792,-32.52326198
Egernia cunninghami,138.7111,-34.87556
Egernia cunninghami,142.93,-38.27
Egernia cunninghami,149.1366854,-37.12536404
Egernia cunninghami,141.08,-37.74
Egernia cunninghami,149.02,-35.38
Egernia cunninghami,153.0681385,-29.50024739
Egernia cunninghami,148.9942,-32.98695
Egernia cunninghami,152.94,-30.12
Egernia cunninghami,143.36,-36.26
Egernia cunninghami,151.1212644,-28.58719103
Egernia cunninghami,144.9,-35.78
Egernia cunninghami,148.1642763,-29.89497227
Egernia cunninghami,144.41,-37.39
Egernia cunninghami,152.3128874,-29.5084158
Egernia cunninghami,144.6864,-37.73778
Egernia cunninghami,143.8076154,-34.48298329
Egernia cunninghami,148.15,-37.6
Egernia cunninghami,152.1691668,-32.67723383
Egernia cunninghami,144.39,-35.99
Egernia cunninghami,150.2453286,-29.87718047
Egernia cunninghami,144.3,-35.8
Egernia cunninghami,152.0905556,-27.2875
Egernia cunninghami,149.678655,-31.34547672
Egernia cunninghami,138.5680126,-34.03186686
Egernia cunninghami,149.4199833,-37.1820992
Egernia cunninghami,144.1028,-34.94556
Egernia cunninghami,150.1425152,-33.25065133
Egernia cunninghami,144.8846032,-35.01514552
Egernia cunninghami,150.0935225,-34.2361445
Egernia cunninghami,141.48,-36.9
Egernia cunninghami,138.7,-35
Egernia cunninghami,142.92,-37.28
Egernia cunninghami,145.101908,-37.910542
Egernia cunninghami,149.4609368,-36.6044702
Egernia cunninghami,145.48,-37.52
Egernia cunninghami,144.27,-35.95
Egernia cunninghami,149.1845673,-36.84844819
Egernia cunninghami,152.6806419,-30.69104084
Egernia cunninghami,152.1216664,-31.01370143
Egernia cunninghami,146.3,-37.12
Egernia cunninghami,150.0764716,-32.97801999
Egernia cunninghami,150.2966766,-33.71694183
Egernia cunninghami,145.59,-36.76
Egernia cunninghami,152.8383159,-28.6869441
Egernia cunninghami,150.9989198,-33.68214107
Egernia cunninghami,147.09,-37.95
Egernia cunninghami,150.296497,-34.28207115
Egernia cunninghami,146.34,-37.94
Egernia cunninghami,140.78756,-35.35156
Egernia cunninghami,151.1511562,-33.88175568
Egernia cunninghami,149.47,-37.57
Egernia cunninghami,150.0373859,-36.34065791
Egernia cunninghami,139.6941681,-34.02138901
Egernia cunninghami,153.1362288,-29.1102936
Egernia cunninghami,141.64,-37.3
Egernia cunninghami,151.9990361,-32.63088991
Egernia cunninghami,149.5507768,-37.22648501
Egernia cunninghami,146.37,-36.03
Egernia cunninghami,146.3345592,-32.86511877
Egernia cunninghami,151.5,-24.25
Egernia cunninghami,152.1604764,-31.65327762
Egernia cunninghami,147.1102929,-26.65431387
Egernia cunninghami,139.03329,-35.54452
